ID,48,46,43,35,33,20,17,14,8
Unknown 1,424233291,405744073,231782007,410138008,187484923,213900306,383526723,256914732,136857033
Unknown 2,6106438,4858335,9832682,6495579,6525018,17003210,6599407,8298241,6354372
Unknown 3,17224284,16573084,139023453,21103579,115198839,33889831,8407877,27254131,19923039
Unknown 4,401066656,389097800,181212836,249766271,76464523,161056463,366475833,214541942,110650423
Vanillic acid,0,0,0,0,0,0,0,0,0
Chlorogenic acid,0,0,0,0,0,0,0,0,0
Syringic acid,0,0,0,0,0,0,0,0,0
Unknown 5 M-H,25665234,24278358,9096571,8706527,5749954,6742221,20272856,9702096,9376473
Unknown 5 M+HCOO,19681865,15687594,6611077,7207379,3568880,5309932,15878844,7892279,6511743
Unknown 6 M-H,36087357,32786896,31366709,16902206,20764879,18143431,12891903,14638708,10573411
Unknown 6 M+HCOO,59896089,45622388,48135999,21940315,31929466,29025114,20431398,24983616,8192421
Caffeic acid,0,0,0,1137410,0,0,0,0,0
Caffeic acid,0,0,0,0,0,0,0,0,0
Unknown 12,7774544,6483130,6749477,4625850,2121406,3617128,7851505,4302321,4484314
Unknown 11,0,0,373624,12838367,5280322,0,2369897,3948973,546725
Unknown 7 M-H,37029414,33210027,31708086,13735835,9773019,38328794,29234996,32981550,16987052
Unknown 7 M+HCOO,74941440,63928008,68242808,25784917,21346951,78504461,62817904,65768514,31870120
Unknown 8,634929,572722,11384831,434714,4206101,6005542,0,1737044,2994804
Ferulic acid derivative,4989427,4690336,4321433,1982147,1406908,5242324,3987574,4485014,2038735
Ferulic acid,0,0,0,0,0,0,0,0,0
Luteolin-3-O-glucoside,18100357,15619749,6583517,19452113,7201621,2098030,8270058,3558209,2185731
Luteolin-3-O-glucuronide,25457520,20789703,11930973,23400290,12563708,5125291,13378619,7292152,7325471
Unknown 16,14664620,11586360,7238129,17235306,10271363,0,0,0,0
Apigenin-3-O-glucoside,7745964,6315975,18691908,4422221,9166675,8754134,7559743,10261343,6087733
Rosmarinic acid,73842982,64433998,100958657,120935745,64511551,107190633,34170401,93467048,49944558
Unknown 13,5397335,4763999,3320431,8427536,4171721,453391,2139727,728772,0
Unknown 9,8989922,8025542,4703448,10303295,5646841,2467145,10622691,3830667,3932777
Unknown 17,9054320,7235004,2141060,19025817,5113938,0,152801,0,0
Unknown 15,940406,996288,4419489,1030675,2731779,2073228,1783100,2718107,1371172
Resveratrol,0,0,0,0,0,0,0,0,0
Unknown 14,8218935,7778021,5463349,13895783,5817424,7546292,10542428,6490115,5564079
Quercetin,0,0,234956,0,0,238938,211740,0,0
Luteolin,2395972,1249051,2041422,2994259,1905167,2344523,6022185,1798345,1023178
Isorhamnetin,0,0,0,0,0,0,0,0,0
Apigenin,504520,470679,3053921,470611,1001459,1386198,840354,728464,957661
Kaempferol,0,0,0,0,0,0,0,0,0
Unknown 10,1312882,2545329,3081130,3248666,3986169,3616097,4876531,5903632,6199061
Acecetin,964066,684835,1296001,282244,477410,0,505370,0,948584
Fajta,Judit,Judit,Judit,Grosso,Grosso,Hidcote,Beate,Beate,Maillette
Nov_szerv,level,level,virag,level,virag,virag,level,virag,virag
Terulet,szomod,szomod,szomod,dorgicse,dorgicse,szomod,dorgicse,dorgicse,dorgicse
